index,species,x,y,dbh,height,elevation,sensor
895,Beech,416701.6941,5346743.027,0.369239467973197,26.04053192,518.507446289062,False
896,Oak,416695.099,5346745.844,0.372422566835035,27.17705218,517.811401367188,False
897,Beech,416694.672113423,5346747.05266361,0.0827605704077856,28.819424507678377,517.7607421875,False
898,Beech,416693.2006,5346745.686,0.0891267681314614,27.86433789,517.642272949219,False
899,Beech,416691.4305,5346747.202,0.146422547644544,27.44953022,517.3203125,False
900,Beech,416690.5984,5346749.566,0.47109863155201,28.91659783,517.264282226562,False
901,Beech,416692.6954,5346743.149,0.101859163578813,26.51580713,517.699951171875,False
902,Beech,416693.0571,5346738.845,0.133690152197192,25.97135321,518.014587402344,False
903,Beech,416692.5189,5346741.121,0.302394391874601,26.8100074,517.835388183594,False
904,Beech,416690.5333,5346741.579,0.143239448782706,25.68155359,517.608642578125,False
905,Beech,416690.7692,5346739.135,0.0572957795130823,26.31901483,517.775756835938,False
906,Beech,416688.9641,5346738.487,0.143239448782706,25.6252881,517.613464355469,False
907,Beech,416691.5057,5346738.599,0.203718327157626,26.39510812,517.858154296875,False
908,Beech,416692.933569217,5346734.33831583,0.0859436692696235,27.16362899,518.352722167969,False
909,Beech,416691.215941109,5346737.86239706,0.101859163578813,27.16362899,517.906860351562,False
910,Beech,416688.6802,5346734.873,0.162338041953733,27.93739935,517.906005859375,False
911,Beech,416689.8287,5346735.166,0.458366236104659,27.99349321,518.09619140625,False
912,Beech,416693.07374764,5346734.19380654,0.155971844230057,24.0369081,518.352722167969,False
913,Beech,416697.1443,5346737.074,0.114591559026165,27.64075837,518.524719238281,False
914,Larch,416698.2877,5346736.341,0.432901445209955,28.44474096,518.764831542969,False
915,Beech,416698.9549,5346738.701,0.190985931710274,27.54352017,518.4794921875,False
916,Beech,416701.951540255,5346731.38219038,0.315126787321953,26.355053871759257,519.438415527344,False
917,Spruce,416706.9743,5346732.637,0.445633840657307,31.76983985,519.572082519531,False
918,Beech,416709.2268,5346730.342,0.143239448782706,26.5338697,519.83251953125,False
919,Beech,416711.5924,5346728.865,0.353323973664008,28.53668744,520.111267089844,False
920,Beech,416715.2891,5346729.164,0.12095775674984,28.9958766,520.346618652344,False
921,Beech,416715.2758,5346726.449,0.340591578216656,28.05740096,520.518615722656,False
922,Beech,416713.099439881,5346725.91357009,0.0763943726841098,27.13838744,520.2919921875,False
923,Beech,416711.902987621,5346723.82736904,0.12095775674984,29.34549125,520.322021484375,False
924,Beech,416707.743242377,5346725.87781416,0.178253536262923,26.55086827819317,519.991821289062,False
925,Larch,416706.333908244,5346725.61606572,0.391521160006063,28.736044435022887,520.038452148438,False
926,Beech,416704.7359,5346727.024,0.111408460164327,21.20457364,519.576293945312,False
927,Beech,416704.161,5346728.32,0.0795774715459477,23.29114995,519.453430175781,False
928,Beech,416700.9046,5346727.62,0.111408460164327,22.16692666,519.213562011719,False
929,Beech,416694.8971,5346728.772,0.302394391874601,27.97015258,518.756164550781,False
930,Beech,416692.865096573,5346730.00951278,0.066845076098596,27.96648584923868,518.44580078125,False
931,Beech,416690.4787,5346732.032,0.0732112738222719,28.65362182,518.18798828125,False
932,Beech,416686.8393,5346727.336,0.184619733986599,25.75355588,518.115234375,False
933,Beech,416689.7398,5346727.443,0.477464829275686,28.44895199,518.404724121094,False
934,Beech,416692.1324,5346726.255,0.108225361302489,27.20665915,518.569885253906,False
935,Beech,416697.6941,5346725.459,0.165521140815571,21.52958197,519.087707519531,False
936,Spruce,416703.027584626,5346723.6215603,0.41061975317709,29.23031393403081,519.790954589844,False
937,Beech,416707.822280007,5346722.4772741,0.101859163578813,29.86673520702972,520.152282714844,False
938,Beech,416710.023296368,5346721.82236503,0.155971844230057,29.34549125,520.330444335938,False
939,Beech,416714.0469,5346719.64,0.375605665696873,28.13564307,520.918212890625,False
940,Beech,416710.0761,5346718.071,0.101859163578813,26.5351208,520.586364746094,False
941,Beech,416709.8574,5346719.241,0.340591578216656,28.93803875,520.595336914062,False
942,Beech,416707.0231,5346717.405,0.286478897565412,29.37583359,520.503723144531,False
943,Beech,416712.437443809,5346711.28506516,0.0923098669932993,27.97027481,521.312927246094,False
944,Beech,416711.4492,5346711.59638006,0.146422547644544,27.97027481,521.283020019531,False
945,Beech,416711.994127219,5346711.73058233,0.143239448782706,27.62516358571572,521.319396972656,False
946,Beech,416710.695130117,5346712.60215506,0.308760589598277,26.870593383900005,521.0908203125,False
947,Beech,416707.6039,5346714.385,0.12095775674984,28.76410161,520.651794433594,False
948,Spruce,416705.2208,5346713.4,0.499746521308551,32.20228647,520.726745605469,False
949,Beech,416699.3743,5346721.403,0.181436635124761,23.38856075,519.559692382812,False
950,Beech,416693.65945261,5346722.44789061,0.0923098669932993,29.378057199628955,518.917541503906,False
951,Beech,416692.116,5346723.272,0.066845076098596,28.27731322,518.799255371094,False
952,Beech,416688.2272,5346722.332,0.0891267681314614,28.6114259,518.553100585938,False
953,Beech,416687.0741,5346721.592,0.232366216914167,23.8633642,518.525146484375,False
954,Beech,416688.0069,5346720.146,0.372422566835035,28.1758803,518.778747558594,False
955,Beech,416688.9055,5346719.504,0.12095775674984,27.39437659,518.769287109375,False
956,Beech,416686.1617,5346719.025,0.114591559026165,24.96361771,518.540283203125,False
957,Beech,416685.8913,5346718.433,0.261014106670708,25.08027999,518.620544433594,False
958,Beech,416682.504891864,5346718.13993748,0.187802832848436,25.826460473826103,518.366882324219,False
959,Beech,416688.2319,5346717.437,0.162338041953733,29.2690363,518.854675292969,False
960,Beech,416690.0271,5346716.243,0.130507053335354,23.14769416,519.099487304688,False
961,Beech,416689.6068,5346716.119,0.066845076098596,28.72267046,519.000122070312,False
962,Oak,416692.9129,5346718.729,0.493380323584876,29.08136813,519.165344238281,False
963,Beech,416695.927344106,5346716.79099704,0.146422547644544,28.66997855,519.544555664062,False
964,Beech,416694.9572,5346716.61,0.13687325105903,28.66997855,519.414123535156,False
965,Beech,416693.1809,5346715.38,0.114591559026165,28.39963904,519.333740234375,False
966,Larch,416690.0943,5346713.738,0.445633840657307,29.70623847,519.420837402344,False
967,Spruce,416694.482,5346711.812,0.452000038380983,29.88358281,519.870178222656,False
